theta,N,reps,mean_sum_r2,mean_2NI,mean_gap,median_abs_gap,p95_abs_gap,median_rel_gap,max_ident_diff
0.0,100,1000,4.03725199722994,4.131435867415088,-0.09418387018514832,0.040074877535809295,0.36616224705350986,0.011799483840990697,7.105427357601002e-15
0.0,1000,1000,3.8606806040061885,3.8687188108326467,-0.008038206826458066,0.0027864707075830886,0.031762802578709844,0.0009544366843489249,1.4210854715202004e-14
0.0,10000,1000,3.9868417359744477,3.9875940331560695,-0.0007522971816221471,0.0003337270048471286,0.002873185556764124,0.00010355325852642942,4.618527782440651e-14
0.0,100000,1000,3.962190062555345,3.9622703381575963,-8.027560225128e-05,3.155910704033538e-05,0.0003298598340171645,1.0172157414474061e-05,1.794120407794253e-13
0.0,1000000,200,3.840300028540162,3.8403076747092233,-7.646169061718832e-06,2.8231902995390357e-06,3.385063667016295e-05,9.235432603024635e-07,4.884981308350689e-13
0.05,100,1000,4.422591156349574,4.5406930369635745,-0.11810188061400093,0.04520757713223089,0.5076885007275935,0.012317275935110582,8.881784197001252e-15
0.05,1000,1000,9.31808770133391,9.356012903813214,-0.0379252024793046,0.020621713826437293,0.12624977449412755,0.0024877948446432835,2.4868995751603507e-14
0.05,10000,1000,53.740738890029334,53.83227544502509,-0.09153655499575183,0.08060211078856483,0.19541482875310265,0.0015395004628377834,1.4210854715202004e-13
0.05,100000,1000,503.4814470974429,504.2096662666163,-0.7282191691734068,0.7198543164751072,0.9703377512813915,0.0014230436899651644,1.4779288903810084e-12
0.05,1000000,200,5002.754158809799,5009.884009653572,-7.129850843772033,7.126352613107883,7.844008000662324,0.00142023573032685,1.1823431123048067e-11
0.1,100,1000,5.915699594436788,6.114730440779057,-0.19903084634226736,0.08979709228962518,0.7412040286540006,0.017175605796672645,7.105427357601002e-15
0.1,1000,1000,23.545411766551506,23.737482434051586,-0.1920706675000794,0.1572455043740666,0.46846532467507,0.0067997069180289905,3.552713678800501e-14
0.1,10000,1000,204.34344104519766,205.57403355115133,-1.2305925059536793,1.1960830887432081,1.8460916782847787,0.005810191867099414,2.8421709430404007e-13
0.1,100000,1000,2004.532434294111,2016.1248426217833,-11.592408327671937,11.520293392051258,13.418659123735415,0.005724686757041053,3.183231456205249e-12
0.1,1000000,200,20010.191442195348,20125.377536866978,-115.18609467162854,115.10654956061262,120.85948472738183,0.0057212929970558365,2.546585164964199e-11
0.25,100,1000,16.01032077008458,17.164589326350953,-1.1542685562663741,0.8144294960036431,3.379962619523617,0.04970302625849722,2.1316282072803006e-14
0.25,1000,1000,128.65988464265723,134.09147894491315,-5.431594302255874,5.154028517137974,8.770419833809912,0.03901002505794397,1.1368683772161603e-13
0.25,10000,1000,1254.0360627761866,1303.6579700596076,-49.621907283421095,49.25391991196807,58.99472221780959,0.037848905189362805,1.1368683772161603e-12
0.25,100000,1000,12509.367853184842,13002.087042948548,-492.7191897637083,493.40085687337887,520.1781828143571,0.03792035603337682,1.0913936421275139e-11
0.25,1000000,200,125024.31798789799,129944.06342822658,-4919.745440328615,4918.625642295796,5005.4814168082185,0.03786679407218578,7.275957614183426e-11
0.5,100,1000,50.375156665124,64.78521287204875,-14.410056206924752,14.661545547772949,19.18095702573617,0.22648302844111204,4.263256414560601e-14
0.5,1000,1000,488.07446221201377,620.7656894668702,-132.69122725485633,132.8656221096508,152.26329225333674,0.21391004993294355,2.8421709430404007e-13
0.5,10000,1000,4846.0720523780155,6152.328896430236,-1306.2568440522202,1305.7504631422266,1368.183840715029,0.21242897811104988,2.7284841053187847e-12
0.5,100000,1000,48429.4609342407,61459.40282819062,-13029.941893949932,13035.071541681766,13221.163252564404,0.2120379816067282,2.9103830456733704e-11
0.5,1000000,200,484143.2784817663,614376.889487042,-130233.61100527563,130223.68559644031,130877.50524656243,0.21194424356849323,2.9103830456733704e-10
0.75,100,1000,62.69858210172622,80.13835254289205,-17.43977044116584,17.256785081735167,23.81687765073263,0.22029424503082637,4.263256414560601e-14
0.75,1000,1000,612.2818598509267,769.0518445922023,-156.76998474127575,156.48511605891264,179.31679696189136,0.20347207600325526,3.410605131648481e-13
0.75,10000,1000,6094.820893455384,7635.215790839724,-1540.3948973843394,1538.9880560809675,1609.2886625225378,0.20167286503275555,3.637978807091713e-12
0.75,100000,1000,60899.910874029025,76259.48158562227,-15359.570711593236,15358.717877510579,15576.51738955312,0.20141412842566792,3.637978807091713e-11
0.75,1000000,200,609178.7471926962,762825.5629388231,-153646.81574612693,153625.48205531255,154320.94354884606,0.2014082201494742,2.3283064365386963e-10
