,chi2,sum_r2,plug_in_mi,ksg_mi
chi2,1.0,1.0,0.9902126004666839,0.9579984443868291
sum_r2,1.0,1.0,0.9902126004666839,0.9579984443868291
plug_in_mi,0.9902126004666839,0.9902126004666839,1.0,0.952618615504278
ksg_mi,0.9579984443868291,0.9579984443868291,0.952618615504278,1.0
