,chi2,sum_r2,plug_in_mi,ksg_mi
chi2,1.0,1.0,0.9648351648351648,0.8901098901098901
sum_r2,1.0,1.0,0.9648351648351648,0.8901098901098901
plug_in_mi,0.9648351648351648,0.9648351648351648,1.0,0.9164835164835164
ksg_mi,0.8901098901098901,0.8901098901098901,0.9164835164835164,1.0
