Z,theta,N,reps,cmi_pop,mean_cmi_emp,max_exact_diff,median_exact_diff,median_abs_gap,mean_gap,median_rel_gap
2,0.0,1000,500,0.0,0.0010193940614918635,1.3322676295501878e-14,1.5543122344752192e-15,0.0004875844705517496,-0.0019552609342950228,0.0003384922071555684
2,0.0,10000,500,0.0,0.00010004281395029547,5.5067062021407764e-14,6.8833827526759706e-15,4.370684446708406e-05,-0.0001968121756711488,3.121636341202092e-05
2,0.0,100000,500,0.0,1.0699818844211472e-05,2.0961010704922955e-13,1.8263168755083825e-14,5.26184401739016e-06,-2.2508058951608025e-05,3.407281653007037e-06
2,0.1,1000,500,0.012571940198522839,0.013381894629332265,4.263256414560601e-14,7.105427357601002e-15,0.15345544758357121,-0.193049331986209,0.005860864425260343
2,0.1,10000,500,0.012571940198522839,0.012739568275642252,5.115907697472721e-13,1.1368683772161603e-13,1.4672120902653063,-1.5110510992833246,0.005774434421461853
2,0.1,100000,500,0.012571940198522839,0.012562253192637332,3.637978807091713e-12,9.094947017729282e-13,14.405811088601695,-14.409513659108612,0.005726041701555627
2,0.25,1000,500,0.08119798917155009,0.08263692126590644,1.1368683772161603e-13,2.842170943040401e-14,6.211264342365411,-6.512181598068088,0.03834928474340081
2,0.25,10000,500,0.08119798917155009,0.08119303759291419,1.3642420526593924e-12,2.2737367544323206e-13,61.289902762204974,-61.685469755612914,0.03786687664192008
2,0.25,100000,500,0.08119798917155009,0.08123121334126286,1.2732925824820995e-11,3.637978807091713e-12,614.9328532374639,-615.0777352319967,0.03786964043841
2,0.5,1000,500,0.38397884107311747,0.38531567256829,3.410605131648481e-13,1.1368683772161603e-13,164.62192665385288,-164.31525990492892,0.21300898010189734
2,0.5,10000,500,0.38397884107311747,0.3843469259238679,3.637978807091713e-12,9.094947017729282e-13,1629.1220861137908,-1630.7014825398985,0.21211444159080206
2,0.5,100000,500,0.38397884107311747,0.3837511375228785,4.3655745685100555e-11,7.275957614183426e-12,16252.09237935234,-16257.730449051418,0.21182146717624914
4,0.0,1000,500,0.0,0.001992402440061552,1.4210854715202004e-14,1.7763568394002505e-15,0.004111898161882843,-0.007670334885883586,0.0011470277696773493
4,0.0,10000,500,0.0,0.0001901038150967731,5.861977570020827e-14,7.993605777301127e-15,0.0003224808329529427,-0.0007761317312548091,9.732073866505935e-05
4,0.0,100000,500,0.0,1.988848982285379e-05,1.545430450278218e-13,2.042810365310288e-14,3.555408865874021e-05,-8.429784492838963e-05,1.0406955073833992e-05
4,0.1,1000,500,0.012003302598777538,0.01405407013549859,3.552713678800501e-14,7.105427357601002e-15,0.17861411783836445,-0.22100184767080794,0.006741678901033309
4,0.1,10000,500,0.012003302598777538,0.012284106356069167,3.979039320256561e-13,5.684341886080802e-14,1.2415425298219418,-1.281627886040346,0.005107394116839532
4,0.1,100000,500,0.012003302598777538,0.01203058868172806,2.7284841053187847e-12,4.547473508864641e-13,11.898021171438131,-11.885634887427969,0.004949581872320965
4,0.25,1000,500,0.07713472991696288,0.07948514775226109,8.526512829121202e-14,2.842170943040401e-14,5.408931401130872,-5.630678460121096,0.03414871579914662
4,0.25,10000,500,0.07713472991696288,0.07729508675988793,9.094947017729282e-13,2.2737367544323206e-13,49.91351981648643,-50.20953011845166,0.03235858469651404
4,0.25,100000,500,0.07713472991696288,0.07718280746544462,9.094947017729282e-12,1.8189894035458565e-12,496.47071557000254,-497.2510162747811,0.03216663720746714
4,0.5,1000,500,0.35421371283591496,0.35592685873134017,3.410605131648481e-13,0.0,122.54233728565794,-122.96228725247718,0.17253874155589616
4,0.5,10000,500,0.35421371283591496,0.3542639742019962,2.7284841053187847e-12,9.094947017729282e-13,1210.6279379011917,-1210.4415449885632,0.17077917731724535
