,chi2,sum_r2,plug_in_mi,ksg_mi
chi2,1.0,1.0,0.9852941176470589,0.6970588235294117
sum_r2,1.0,1.0,0.9852941176470589,0.6970588235294117
plug_in_mi,0.9852941176470589,0.9852941176470589,1.0,0.6911764705882353
ksg_mi,0.6970588235294117,0.6970588235294117,0.6911764705882353,1.0
